Date,Open,High,Low,Close,Adj Close,Volume
2014-02-14,634.000000,643.849976,629.349976,641.799988,618.441101,1062278
2014-02-17,642.000000,652.000000,641.099976,650.400024,626.728149,912530
2014-02-18,648.500000,664.400024,647.400024,660.400024,636.364258,1254918
2014-02-19,656.200012,672.250000,655.000000,670.049988,645.663025,1015237
2014-02-20,665.799988,667.450012,660.849976,662.750000,638.628662,862109
2014-02-21,659.849976,669.599976,659.700012,664.400024,640.218628,760968
2014-02-24,662.099976,673.000000,655.750000,671.000000,646.578430,1254746
2014-02-25,674.000000,676.000000,666.000000,671.099976,646.674744,1005140
2014-02-26,670.000000,679.200012,668.549988,677.400024,652.745544,1137835
2014-02-28,682.000000,682.900024,665.150024,669.599976,645.229309,1225896
2014-03-03,665.200012,672.000000,663.200012,666.200012,641.953064,919608
2014-03-04,666.000000,673.849976,664.250000,671.700012,647.252869,1610967
2014-03-05,673.500000,675.000000,662.500000,669.750000,645.373901,1001746
2014-03-06,673.000000,677.700012,668.099976,675.599976,651.010864,1237170
2014-03-07,679.599976,714.900024,676.200012,711.450012,685.556213,5691892
2014-03-10,706.500000,736.900024,700.000000,734.450012,707.719116,6530963
2014-03-11,734.500000,740.000000,719.549988,725.150024,698.757507,3250118
2014-03-12,721.250000,733.000000,716.500000,725.549988,699.142944,1777554
2014-03-13,727.500000,749.500000,727.500000,742.349976,715.331604,2862113
2014-03-14,735.000000,739.900024,724.000000,732.150024,705.502808,3052120
2014-03-18,735.400024,744.799988,728.299988,734.000000,707.285461,2025681
2014-03-19,740.000000,743.299988,735.750000,738.450012,711.573486,1513784
2014-03-20,738.450012,738.450012,728.000000,730.200012,703.623779,1298771
2014-03-21,735.150024,737.500000,731.200012,733.849976,707.140869,1881398
2014-03-24,734.500000,752.900024,734.000000,750.650024,723.329529,2928465
2014-03-25,750.000000,760.549988,747.750000,750.150024,722.847717,2007773
2014-03-26,752.799988,756.299988,744.099976,746.049988,718.896851,2352328
2014-03-27,750.000000,760.750000,742.000000,746.750000,719.571350,6138733
2014-03-28,749.950012,754.099976,735.049988,744.950012,717.836853,3040225
2014-03-31,747.950012,753.000000,743.099976,748.799988,721.546814,2065607
2014-04-01,751.500000,753.549988,732.549988,738.099976,711.236206,2012958
2014-04-02,744.950012,746.000000,721.900024,731.900024,705.261841,2599688
2014-04-03,736.000000,738.000000,726.250000,728.799988,702.274719,1389926
2014-04-04,725.549988,733.000000,720.049988,725.450012,699.046692,1855602
2014-04-07,725.000000,732.000000,723.099976,725.349976,698.950195,2933289
2014-04-09,728.049988,744.900024,721.750000,741.849976,714.849731,2630096
2014-04-10,744.650024,748.650024,736.000000,739.400024,712.488892,1873698
2014-04-11,734.049988,744.799988,733.900024,738.150024,711.284363,1301988
2014-04-15,734.299988,738.799988,718.099976,723.950012,697.601196,2092967
2014-04-16,723.200012,731.799988,721.099976,725.950012,699.528381,893098
2014-04-17,716.250000,721.299988,707.299988,718.700012,692.542297,3075582
2014-04-21,722.700012,726.500000,713.000000,716.450012,690.374207,1746938
2014-04-22,721.900024,729.599976,717.400024,727.549988,701.070190,2848956
2014-04-23,724.900024,739.450012,722.599976,733.000000,706.321899,5256336
2014-04-24,733.000000,733.000000,733.000000,733.000000,706.321899,0
2014-04-25,733.150024,738.000000,725.000000,726.400024,699.962097,1553111
2014-04-28,722.250000,729.250000,720.549988,725.200012,698.805725,1220715
2014-04-29,726.400024,727.500000,712.500000,715.799988,689.747864,1660309
2014-04-30,716.000000,729.900024,711.650024,721.299988,695.047607,2196730
2014-05-02,723.500000,727.549988,715.549988,717.099976,691.000488,1478823
2014-05-05,719.849976,723.099976,714.000000,716.700012,690.615112,1298081
2014-05-06,720.200012,724.599976,714.099976,720.200012,693.987732,1546140
2014-05-07,718.500000,727.000000,711.450012,715.599976,689.555115,1649656
2014-05-08,717.150024,723.000000,715.500000,718.299988,692.156860,1880107
2014-05-09,720.000000,760.000000,720.000000,756.799988,729.255615,4094111
2014-05-12,755.099976,794.849976,754.500000,792.150024,763.319031,4390340
2014-05-13,800.000000,800.000000,782.500000,788.150024,759.464600,3166304
2014-05-14,785.000000,794.799988,774.250000,775.450012,747.226868,2125375
2014-05-15,769.000000,791.150024,766.049988,788.349976,759.657227,2366547
2014-05-16,800.000000,854.000000,787.650024,804.700012,775.412231,8217092
2014-05-19,815.900024,835.000000,808.000000,811.900024,782.350220,2630701
2014-05-20,816.000000,821.599976,804.349976,816.049988,786.349121,1589258
2014-05-21,812.349976,814.500000,805.000000,809.500000,780.037537,910597
2014-05-22,812.000000,815.000000,798.000000,802.599976,773.388733,1951614
2014-05-23,799.000000,803.000000,782.700012,789.650024,760.910034,2454734
2014-05-26,799.000000,804.049988,790.000000,797.150024,768.137024,4348808
2014-05-27,800.000000,810.650024,788.349976,804.900024,775.604980,1904881
2014-05-28,799.900024,826.750000,799.500000,823.450012,793.479858,3588891
2014-05-29,822.599976,830.750000,807.400024,810.250000,780.760254,3421002
2014-05-30,815.000000,822.799988,730.000000,792.750000,763.897217,8201886
2014-06-02,793.500000,822.349976,793.500000,819.400024,789.577271,2020783
2014-06-03,823.000000,827.849976,814.000000,824.349976,794.347046,906037
2014-06-04,822.400024,829.700012,815.099976,816.700012,786.975525,716085
2014-06-05,811.799988,815.400024,801.000000,805.450012,782.699768,1918618
2014-06-06,813.000000,821.000000,801.000000,815.250000,792.222961,2641319
2014-06-09,821.900024,830.000000,815.000000,819.450012,796.304443,2334980
2014-06-10,821.150024,823.599976,810.000000,816.650024,793.583496,1249836
2014-06-11,817.000000,829.849976,810.000000,820.500000,797.324646,1935943
2014-06-12,824.500000,844.950012,812.849976,839.849976,816.128113,3183012
2014-06-13,844.000000,856.000000,831.650024,835.400024,811.803833,3053221
2014-06-16,831.000000,842.799988,830.299988,839.000000,815.302124,1327470
2014-06-17,836.000000,848.799988,827.349976,846.549988,822.638916,1747030
2014-06-18,847.099976,851.400024,828.750000,834.849976,811.269348,1343657
2014-06-19,837.099976,839.950012,822.200012,825.750000,802.426453,1180249
2014-06-20,826.000000,831.750000,819.349976,821.950012,798.733765,742442
2014-06-23,824.000000,826.549988,815.299988,821.450012,798.247864,1460211
2014-06-24,825.349976,832.750000,825.000000,829.000000,805.584595,1266556
2014-06-25,829.000000,833.200012,823.000000,824.099976,800.822998,1582656
2014-06-26,820.000000,826.599976,808.650024,812.400024,789.453552,5452066
