Date,Open,High,Low,Close,Adj Close,Volume
2013-11-25,1004.000000,1013.419983,996.549988,1006.619995,858.912842,1950998
2013-11-26,1001.549988,1008.219971,993.500000,996.849976,850.576233,2047412
2013-11-27,1004.500000,1006.849976,987.500000,993.224976,847.483215,2120978
2013-11-28,996.549988,998.275024,985.000000,992.299988,846.693909,2805722
2013-11-29,996.000000,1007.349976,990.900024,1002.169983,855.115601,1924812
2013-12-02,997.500000,1010.500000,997.500000,1006.950012,859.194336,1253260
2013-12-03,1008.030029,1021.000000,1007.530029,1010.400024,862.138000,1449184
2013-12-04,1009.950012,1015.799988,996.825012,1000.030029,853.289673,1519036
2013-12-05,1008.000000,1016.780029,991.525024,993.575012,847.781860,1397190
2013-12-06,995.500000,1005.000000,995.500000,1000.150024,853.392090,1446962
2013-12-09,1014.500000,1014.969971,1000.000000,1002.419983,855.328979,1826340
2013-12-10,1000.000000,1044.500000,1000.000000,1041.380005,888.572021,3653334
2013-12-11,1039.500000,1043.430054,1021.500000,1029.030029,878.034485,1556062
2013-12-12,1022.500000,1032.000000,1012.549988,1014.450012,865.593689,1655964
2013-12-13,1018.969971,1022.500000,997.500000,1000.900024,854.032043,3463350
2013-12-16,1006.849976,1019.900024,1002.580017,1009.580017,861.438416,2858500
2013-12-17,1015.799988,1032.930054,1015.000000,1022.669983,872.607544,2995474
2013-12-18,1020.000000,1035.500000,1019.000000,1027.900024,877.070129,1587990
2013-12-19,1037.969971,1055.000000,1031.319946,1040.750000,888.034485,2161986
2013-12-20,1044.050049,1065.000000,1042.930054,1060.280029,904.698914,1965812
2013-12-23,1064.969971,1071.719971,1048.969971,1054.530029,899.792603,1321224
2013-12-24,1059.900024,1064.500000,1052.119995,1055.349976,900.492371,870156
2013-12-26,1057.500000,1058.500000,1045.719971,1050.150024,896.055359,2297194
2013-12-27,1053.500000,1084.949951,1052.500000,1080.319946,921.798218,2479946
2013-12-30,1085.000000,1087.619995,1073.349976,1078.030029,919.844116,1668776
2013-12-31,1080.050049,1092.469971,1075.449951,1086.030029,926.670227,1245776
2014-01-01,1090.050049,1092.250000,1075.550049,1076.650024,918.666809,529952
2014-01-02,1083.000000,1094.500000,1078.069946,1083.500000,924.511597,1726948
2014-01-03,1082.349976,1114.550049,1073.619995,1111.099976,948.061646,2618174
2014-01-06,1114.500000,1122.000000,1098.500000,1119.800049,955.485046,2311810
2014-01-07,1120.000000,1128.219971,1099.500000,1103.069946,941.209717,2897486
2014-01-08,1106.000000,1122.000000,1105.000000,1116.319946,952.515503,2550020
2014-01-09,1114.380005,1127.750000,1111.050049,1120.969971,956.483704,2582206
2014-01-10,1130.000000,1154.900024,1117.500000,1140.449951,973.104797,3369334
2014-01-13,1142.500000,1192.000000,1142.500000,1184.380005,1010.588623,3814316
2014-01-14,1186.000000,1192.400024,1160.000000,1163.380005,992.670166,2974964
2014-01-15,1171.219971,1189.099976,1163.500000,1176.800049,1004.121338,3048854
2014-01-16,1190.000000,1190.050049,1162.500000,1175.150024,1002.713196,2997962
2014-01-17,1149.000000,1149.000000,1103.030029,1106.530029,944.162415,7564756
2014-01-20,1109.469971,1175.000000,1107.750000,1169.099976,997.551025,6010558
2014-01-21,1167.000000,1169.619995,1137.550049,1140.150024,972.848938,3132282
2014-01-22,1143.550049,1148.430054,1132.050049,1137.030029,970.186707,2384030
2014-01-23,1134.050049,1138.349976,1118.650024,1126.219971,960.962830,2290762
2014-01-24,1122.000000,1141.619995,1117.500000,1124.349976,959.367310,1850266
2014-01-27,1113.000000,1129.750000,1110.050049,1114.800049,954.615051,2532948
2014-01-28,1116.000000,1123.930054,1098.050049,1106.180054,947.233704,2852166
2014-01-29,1120.000000,1120.000000,1102.500000,1104.900024,946.137634,1698076
2014-01-30,1099.030029,1113.500000,1095.000000,1108.800049,949.476990,2225250
2014-01-31,1112.550049,1134.900024,1110.500000,1120.530029,959.521606,2174246
2014-02-03,1111.000000,1122.119995,1095.400024,1097.219971,939.560974,1362480
2014-02-04,1087.000000,1087.500000,1056.030029,1075.680054,921.116028,2694166
2014-02-05,1081.900024,1100.000000,1070.000000,1097.199951,939.543884,1853650
2014-02-06,1090.000000,1094.949951,1072.500000,1087.619995,931.340454,1922652
2014-02-07,1095.000000,1097.500000,1065.500000,1072.199951,918.136292,1990912
2014-02-10,1072.000000,1072.000000,1042.550049,1046.780029,896.368713,4019270
2014-02-11,1050.000000,1063.250000,1048.000000,1050.849976,899.853638,3568786
2014-02-12,1059.000000,1061.800049,1047.500000,1052.719971,901.455200,3074348
2014-02-13,1053.500000,1069.199951,1048.250000,1066.880005,913.580505,2094350
2014-02-14,1068.949951,1092.380005,1064.050049,1083.949951,928.197876,1910062
2014-02-17,1080.000000,1093.000000,1073.599976,1082.699951,927.127441,1670394
2014-02-18,1082.500000,1095.500000,1077.930054,1083.000000,927.384277,1526916
2014-02-19,1085.000000,1107.500000,1081.119995,1098.969971,941.059509,1072918
2014-02-20,1103.000000,1111.000000,1091.400024,1094.680054,937.386047,1587924
2014-02-21,1099.000000,1106.500000,1095.380005,1102.849976,944.382019,1717860
2014-02-24,1102.000000,1102.619995,1085.050049,1088.949951,932.479004,2450424
2014-02-25,1094.500000,1099.750000,1090.000000,1094.449951,937.188965,3305374
2014-02-26,1097.000000,1097.500000,1088.569946,1091.069946,934.294556,3859712
2014-02-28,1080.500000,1140.000000,1080.069946,1137.880005,974.378479,3988192
2014-03-03,1135.900024,1149.500000,1114.000000,1120.030029,959.093506,1606078
2014-03-04,1116.599976,1127.000000,1112.000000,1120.319946,959.341675,2030332
2014-03-05,1127.430054,1143.119995,1121.280029,1125.949951,964.162842,2302006
2014-03-06,1126.430054,1130.000000,1116.069946,1120.380005,959.393066,1314562
2014-03-07,1122.750000,1125.030029,1076.400024,1114.250000,954.143799,4698472
